formulary_id,contract_year,tier_level_value,rows_count,distinct_rxcui,pct_of_formulary
00025211,2025,2,1586,1586,48.96573016363075
00025211,2025,3,253,253,7.8110527940722445
00025211,2025,4,90,90,2.778635381290522
00025211,2025,5,796,796,24.575486261191728
00025211,2025,6,253,253,7.8110527940722445
00025212,2025,1,195,195,6.097560975609756
00025212,2025,2,485,485,15.165728580362726
00025212,2025,3,1080,1080,33.771106941838646
00025212,2025,4,760,760,23.764853033145716
00025212,2025,5,678,678,21.20075046904315
00025213,2025,1,3239,3239,100.0
00025215,2025,1,527,527,15.91183574879227
00025215,2025,2,1572,1572,47.46376811594203
00025215,2025,3,266,266,8.031400966183575
00025215,2025,4,158,158,4.770531400966184
00025215,2025,5,789,789,23.82246376811594
00025216,2025,1,353,353,9.48160085952189
00025216,2025,2,2032,2032,54.57964007520817
00025216,2025,3,296,296,7.950577491270481
00025216,2025,4,126,126,3.3843674456083805
00025216,2025,5,889,889,23.87859253290357
00025216,2025,6,27,27,0.7252215954875101
00025218,2025,1,3239,3239,100.0
00025219,2025,1,3376,3376,100.0
00025220,2025,1,353,353,10.898425439950602
00025220,2025,2,1518,1518,46.86631676443347
00025220,2025,3,318,318,9.817845013893177
00025220,2025,4,254,254,7.841926520531028
00025220,2025,5,796,796,24.575486261191728
00025222,2025,1,261,261,8.058042605742513
00025222,2025,2,1422,1422,43.90243902439025
00025222,2025,3,318,318,9.817845013893177
00025222,2025,4,254,254,7.841926520531028
00025222,2025,5,796,796,24.575486261191728
00025222,2025,6,188,188,5.8042605742513125
00025224,2025,1,3376,3376,100.0
00025225,2025,1,3239,3239,100.0
00025227,2025,1,396,396,11.98547215496368
00025227,2025,2,427,427,12.923728813559322
00025227,2025,3,990,990,29.9636803874092
00025227,2025,4,710,710,21.48910411622276
00025227,2025,5,781,781,23.638014527845037
00025229,2025,1,3376,3376,100.0
00025230,2025,1,1102,1102,34.0228465575795
00025230,2025,2,745,745,23.000926211793765
00025230,2025,3,253,253,7.8110527940722445
00025230,2025,4,90,90,2.778635381290522
00025230,2025,5,796,796,24.575486261191728
00025230,2025,6,253,253,7.8110527940722445
